Model,Accuracy,Precision,Recall,F1 Score
TensorFlow/Keras Neural Network,0.8556732688469215,0.7136054421768707,0.6690051020408163,0.6905859117840685
PyTorch Neural Network,0.8536772608628896,0.7229876722262509,0.6358418367346939,0.6766202918221921
