Model,Accuracy,Precision,Recall,F1 Score
TensorFlow/Keras,0.8527560264087211,0.7036789297658863,0.6709183673469388,0.6869082598759386
PyTorch,0.8536772608628896,0.7229876722262509,0.6358418367346939,0.6766202918221921
